customerID,Churn,ChurnProbability,RiskCategory,MonthlyCharges,TotalCharges,RevenueAtRisk,Contract,tenure,TenureGroup,CustomerValueGroup,Segment,NumServices,InternetService
7590-VHVEG,No,0.6143,High Risk,29.85,29.85,18.34,Month-to-month,1,0-12 months,Low Value,Low-Med Value / High Risk,2,DSL
5575-GNVDE,No,0.0451,Low Risk,56.95,1889.5,2.57,One year,34,25-48 months,Medium Value,Low-Med Value / Low Risk,4,DSL
3668-QPYBK,Yes,0.2996,Medium Risk,53.85,108.15,16.13,Month-to-month,2,0-12 months,Low Value,Low-Med Value / Low Risk,4,DSL
7795-CFOCW,No,0.0288,Low Risk,42.3,1840.75,1.22,One year,45,25-48 months,Medium Value,Low-Med Value / Low Risk,4,DSL
9237-HQITU,Yes,0.692,High Risk,70.7,151.65,48.92,Month-to-month,2,0-12 months,Low Value,Low-Med Value / High Risk,2,Fiber optic
9305-CDSKC,Yes,0.7955,Critical Risk,99.65,820.5,79.27,Month-to-month,8,0-12 months,Medium Value,Low-Med Value / High Risk,6,Fiber optic
1452-KIOVK,No,0.4848,Medium Risk,89.1,1949.4,43.2,Month-to-month,22,13-24 months,Medium Value,Low-Med Value / Low Risk,5,Fiber optic
6713-OKOMC,No,0.2926,Medium Risk,29.75,301.9,8.7,Month-to-month,10,0-12 months,Low Value,Low-Med Value / Low Risk,2,DSL
7892-POOKP,Yes,0.6215,High Risk,104.8,3046.05,65.13,Month-to-month,28,25-48 months,Medium Value,Low-Med Value / High Risk,7,Fiber optic
6388-TABGU,No,0.0107,Low Risk,56.15,3487.95,0.6,One year,62,49+ months,Medium Value,Low-Med Value / Low Risk,4,DSL
9763-GRSKD,No,0.2062,Low Risk,49.95,587.45,10.3,Month-to-month,13,13-24 months,Medium Value,Low-Med Value / Low Risk,3,DSL
7469-LKBCI,No,0.0283,Low Risk,18.95,326.8,0.54,Two year,16,13-24 months,Low Value,Low-Med Value / Low Risk,1,No
8091-TTVAX,No,0.1803,Low Risk,100.35,5681.1,18.09,One year,58,49+ months,High Value,High Value / Low Risk,6,Fiber optic
0280-XJGEX,Yes,0.4316,Medium Risk,103.7,5036.3,44.76,Month-to-month,49,49+ months,High Value,High Value / Low Risk,7,Fiber optic
5129-JLPIS,No,0.4603,Medium Risk,105.5,2686.05,48.56,Month-to-month,25,25-48 months,Medium Value,Low-Med Value / Low Risk,7,Fiber optic
3655-SNQYZ,No,0.0328,Low Risk,113.25,7895.15,3.71,Two year,69,49+ months,High Value,High Value / Low Risk,9,Fiber optic
8191-XWSZG,No,0.0107,Low Risk,20.65,1022.95,0.22,One year,52,49+ months,Medium Value,Low-Med Value / Low Risk,1,No
9959-WOFKT,No,0.044,Low Risk,106.7,7382.25,4.7,Two year,71,49+ months,High Value,High Value / Low Risk,7,Fiber optic
4190-MFLUW,Yes,0.1544,Low Risk,55.2,528.35,8.53,Month-to-month,10,0-12 months,Medium Value,Low-Med Value / Low Risk,4,DSL
4183-MYFRB,No,0.5616,High Risk,90.05,1862.9,50.57,Month-to-month,21,13-24 months,Medium Value,Low-Med Value / High Risk,5,Fiber optic
8779-QRDMV,Yes,0.725,High Risk,39.65,39.65,28.75,Month-to-month,1,0-12 months,Low Value,Low-Med Value / High Risk,3,DSL
1680-VDCWW,No,0.0639,Low Risk,19.8,202.25,1.27,One year,12,0-12 months,Low Value,Low-Med Value / Low Risk,1,No
1066-JKSGK,Yes,0.1925,Low Risk,20.15,20.15,3.88,Month-to-month,1,0-12 months,Low Value,Low-Med Value / Low Risk,1,No
3638-WEABW,No,0.0174,Low Risk,59.9,3505.1,1.04,Two year,58,49+ months,Medium Value,Low-Med Value / Low Risk,5,DSL
6322-HRPFA,No,0.0252,Low Risk,59.6,2970.3,1.5,Month-to-month,49,49+ months,Medium Value,Low-Med Value / Low Risk,5,DSL
6865-JZNKO,No,0.1127,Low Risk,55.3,1530.6,6.23,Month-to-month,30,25-48 months,Medium Value,Low-Med Value / Low Risk,4,DSL
6467-CHFZW,Yes,0.4914,Medium Risk,99.35,4749.15,48.82,Month-to-month,47,25-48 months,High Value,High Value / Low Risk,6,Fiber optic
8665-UTDHZ,Yes,0.471,Medium Risk,30.2,30.2,14.23,Month-to-month,1,0-12 months,Low Value,Low-Med Value / Low Risk,2,DSL
5248-YGIJN,No,0.0163,Low Risk,90.25,6369.45,1.47,Two year,72,49+ months,High Value,High Value / Low Risk,9,DSL
8773-HHUOZ,Yes,0.353,Medium Risk,64.7,1093.1,22.84,Month-to-month,17,13-24 months,Medium Value,Low-Med Value / Low Risk,4,DSL
3841-NFECX,No,0.0292,Low Risk,96.35,6766.95,2.81,Two year,71,49+ months,High Value,High Value / Low Risk,7,Fiber optic
4929-XIHVW,No,0.7284,High Risk,95.5,181.65,69.56,Month-to-month,2,0-12 months,Low Value,Low-Med Value / High Risk,5,Fiber optic
6827-IEAUQ,No,0.0304,Low Risk,66.15,1874.45,2.01,One year,27,25-48 months,Medium Value,Low-Med Value / Low Risk,6,DSL
7310-EGVHZ,No,0.1822,Low Risk,20.2,20.2,3.68,Month-to-month,1,0-12 months,Low Value,Low-Med Value / Low Risk,1,No
3413-BMNZE,No,0.3714,Medium Risk,45.25,45.25,16.81,Month-to-month,1,0-12 months,Low Value,Low-Med Value / Low Risk,2,DSL
6234-RAAPL,No,0.0207,Low Risk,99.9,7251.7,2.07,Two year,72,49+ months,High Value,High Value / Low Risk,7,Fiber optic
6047-YHPVI,Yes,0.6754,High Risk,69.7,316.9,47.08,Month-to-month,5,0-12 months,Low Value,Low-Med Value / High Risk,2,Fiber optic
6572-ADKRS,No,0.2509,Medium Risk,74.8,3548.3,18.77,Month-to-month,46,25-48 months,Medium Value,Low-Med Value / Low Risk,3,Fiber optic
5380-WJKOV,Yes,0.6172,High Risk,106.35,3549.25,65.64,Month-to-month,34,25-48 months,Medium Value,Low-Med Value / High Risk,7,Fiber optic
8168-UQWWF,Yes,0.7159,High Risk,97.85,1105.4,70.05,Month-to-month,11,0-12 months,Medium Value,Low-Med Value / High Risk,6,Fiber optic
8865-TNMNX,No,0.1168,Low Risk,49.55,475.7,5.79,One year,10,0-12 months,Medium Value,Low-Med Value / Low Risk,3,DSL
9489-DEDVP,No,0.0124,Low Risk,69.2,4872.35,0.86,Two year,70,49+ months,High Value,High Value / Low Risk,6,DSL
9867-JCZSP,No,0.0437,Low Risk,20.75,418.25,0.91,One year,17,13-24 months,Medium Value,Low-Med Value / Low Risk,1,No
4671-VJLCL,No,0.0141,Low Risk,79.85,4861.45,1.13,Two year,63,49+ months,High Value,High Value / Low Risk,8,DSL
4080-IIARD,No,0.3081,Medium Risk,76.2,981.45,23.47,Month-to-month,13,13-24 months,Medium Value,Low-Med Value / Low Risk,7,DSL
3714-NTNFO,No,0.4516,Medium Risk,84.5,3906.7,38.16,Month-to-month,49,49+ months,High Value,High Value / Low Risk,4,Fiber optic
5948-UJZLF,No,0.3096,Medium Risk,49.25,97.0,15.25,Month-to-month,2,0-12 months,Low Value,Low-Med Value / Low Risk,3,DSL
7760-OYPDY,Yes,0.7366,High Risk,80.65,144.15,59.41,Month-to-month,2,0-12 months,Low Value,Low-Med Value / High Risk,3,Fiber optic
7639-LIAYI,No,0.0332,Low Risk,79.75,4217.8,2.65,Two year,52,49+ months,High Value,High Value / Low Risk,7,DSL
2954-PIBKO,No,0.0072,Low Risk,64.15,4254.1,0.46,Two year,69,49+ months,High Value,High Value / Low Risk,6,DSL
8012-SOUDQ,No,0.513,High Risk,90.25,3838.75,46.3,Month-to-month,43,25-48 months,High Value,High Value / High Risk,5,Fiber optic
9420-LOJKX,Yes,0.4723,Medium Risk,99.1,1426.4,46.81,Month-to-month,15,13-24 months,Medium Value,Low-Med Value / Low Risk,6,Fiber optic
6575-SUVOI,No,0.2128,Low Risk,69.5,1752.65,14.79,Month-to-month,25,25-48 months,Medium Value,Low-Med Value / Low Risk,6,DSL
7495-OOKFY,Yes,0.6161,High Risk,80.65,633.3,49.69,Month-to-month,8,0-12 months,Medium Value,Low-Med Value / High Risk,4,Fiber optic
4667-QONEA,No,0.0199,Low Risk,74.85,4456.35,1.49,One year,60,49+ months,High Value,High Value / Low Risk,7,DSL
1658-BYGOY,Yes,0.7787,Critical Risk,95.45,1752.55,74.33,Month-to-month,18,13-24 months,Medium Value,Low-Med Value / High Risk,5,Fiber optic
8769-KKTPH,No,0.1334,Low Risk,99.65,6311.2,13.29,One year,63,49+ months,High Value,High Value / Low Risk,6,Fiber optic
5067-XJQFU,No,0.1959,Low Risk,108.45,7076.35,21.24,One year,66,49+ months,High Value,High Value / Low Risk,8,Fiber optic
3957-SQXML,No,0.0136,Low Risk,24.95,894.3,0.34,Two year,34,25-48 months,Medium Value,Low-Med Value / Low Risk,2,No
5954-BDFSG,No,0.0798,Low Risk,107.5,7853.7,8.58,Two year,72,49+ months,High Value,High Value / Low Risk,7,Fiber optic
0434-CSFON,No,0.5683,High Risk,100.5,4707.1,57.11,Month-to-month,47,25-48 months,High Value,High Value / High Risk,6,Fiber optic
1215-FIGMP,No,0.281,Medium Risk,89.9,5450.7,25.26,Month-to-month,60,49+ months,High Value,High Value / Low Risk,5,Fiber optic
0526-SXDJP,No,0.0064,Low Risk,42.1,2962.0,0.27,Two year,72,49+ months,Medium Value,Low-Med Value / Low Risk,4,DSL
0557-ASKVU,No,0.0898,Low Risk,54.4,957.1,4.89,One year,18,13-24 months,Medium Value,Low-Med Value / Low Risk,4,DSL
5698-BQJOH,Yes,0.7298,High Risk,94.4,857.25,68.89,Month-to-month,9,0-12 months,Medium Value,Low-Med Value / High Risk,5,Fiber optic
5122-CYFXA,No,0.4718,Medium Risk,75.3,244.1,35.53,Month-to-month,3,0-12 months,Low Value,Low-Med Value / Low Risk,6,DSL
8627-ZYGSZ,No,0.234,Low Risk,78.9,3650.35,18.46,One year,47,25-48 months,Medium Value,Low-Med Value / Low Risk,4,Fiber optic
